Time[S],CH4 Volt[V]
1.3e-005,688.000,
1.305e-005,680.000,
1.31e-005,664.000,
1.315e-005,656.000,
1.32e-005,648.000,
1.325e-005,632.000,
1.33e-005,616.000,
1.335e-005,608.000,
1.34e-005,584.000,
1.345e-005,576.000,
1.35e-005,560.000,
1.355e-005,536.000,
1.36e-005,528.000,
1.365e-005,512.000,
1.37e-005,488.000,
1.375e-005,480.000,
1.38e-005,456.000,
1.385e-005,440.000,
1.39e-005,416.000,
1.395e-005,400.000,
1.4e-005,376.000,
1.405e-005,360.000,
1.41e-005,336.000,
1.415e-005,312.000,
1.42e-005,288.000,
1.425e-005,272.000,
1.43e-005,256.000,
1.435e-005,224.000,
1.44e-005,208.000,
1.445e-005,184.000,
1.45e-005,160.000,
1.455e-005,128.000,
1.46e-005,112.000,
1.465e-005,88.000,
1.47e-005,64.000,
1.475e-005,40.000,
1.48e-005,24.000,
1.485e-005,0.000,
1.49e-005,-24.000,
1.495e-005,-56.000,
1.5e-005,-72.000,
1.505e-005,-96.000,
1.51e-005,-120.000,
1.515e-005,-144.000,
1.52e-005,-168.000,
1.525e-005,-192.000,
1.53e-005,-216.000,
1.535e-005,-240.000,
1.54e-005,-256.000,
1.545e-005,-280.000,
1.55e-005,-304.000,
1.555e-005,-320.000,
1.56e-005,-344.000,
1.565e-005,-368.000,
1.57e-005,-384.000,
1.575e-005,-408.000,
1.58e-005,-416.000,
1.585e-005,-448.000,
1.59e-005,-464.000,
1.595e-005,-480.000,
1.6e-005,-496.000,
1.605e-005,-520.000,
1.61e-005,-528.000,
1.615e-005,-544.000,
1.62e-005,-560.000,
1.625e-005,-576.000,
1.63e-005,-584.000,
1.635e-005,-600.000,
1.64e-005,-616.000,
1.645e-005,-632.000,
1.65e-005,-640.000,
1.655e-005,-656.000,
1.66e-005,-664.000,
1.665e-005,-672.000,
1.67e-005,-680.000,
1.675e-005,-688.000,
1.68e-005,-704.000,
1.685e-005,-712.000,
1.69e-005,-720.000,
1.695e-005,-720.000,
1.7e-005,-720.000,
1.705e-005,-736.000,
1.71e-005,-736.000,
1.715e-005,-736.000,
1.72e-005,-744.000,
1.725e-005,-744.000,
1.73e-005,-744.000,
1.735e-005,-744.000,
1.74e-005,-744.000,
1.745e-005,-744.000,
1.75e-005,-744.000,
1.755e-005,-736.000,
1.76e-005,-728.000,
1.765e-005,-728.000,
1.77e-005,-720.000,
1.775e-005,-720.000,
1.78e-005,-712.000,
1.785e-005,-704.000,
1.79e-005,-688.000,
1.795e-005,-688.000,
1.8e-005,-672.000,
1.805e-005,-672.000,
1.81e-005,-656.000,
1.815e-005,-648.000,
1.82e-005,-632.000,
1.825e-005,-624.000,
1.83e-005,-608.000,
1.835e-005,-592.000,
1.84e-005,-576.000,
1.845e-005,-568.000,
1.85e-005,-544.000,
1.855e-005,-528.000,
1.86e-005,-512.000,
1.865e-005,-496.000,
1.87e-005,-480.000,
1.875e-005,-464.000,
1.88e-005,-448.000,
1.885e-005,-424.000,
1.89e-005,-408.000,
1.895e-005,-384.000,
1.9e-005,-360.000,
1.905e-005,-344.000,
1.91e-005,-328.000,
1.915e-005,-304.000,
1.92e-005,-280.000,
1.925e-005,-264.000,
1.93e-005,-232.000,
1.935e-005,-216.000,
1.94e-005,-192.000,
1.945e-005,-176.000,
1.95e-005,-144.000,
1.955e-005,-128.000,
1.96e-005,-104.000,
1.965e-005,-80.000,
1.97e-005,-56.000,
1.975e-005,-32.000,
1.98e-005,-8.000,
1.985e-005,16.000,
1.99e-005,40.000,
1.995e-005,64.000,
2e-005,88.000,
2.005e-005,112.000,
2.01e-005,128.000,
2.015e-005,152.000,
2.02e-005,176.000,
2.025e-005,200.000,
2.03e-005,224.000,
2.035e-005,240.000,
2.04e-005,264.000,
2.045e-005,288.000,
2.05e-005,312.000,
2.055e-005,328.000,
2.06e-005,352.000,
2.065e-005,368.000,
2.07e-005,400.000,
2.075e-005,416.000,
2.08e-005,432.000,
