Time[S],CH4 Volt[V]
5.61e-005,-528.000,
5.615e-005,-552.000,
5.62e-005,-568.000,
5.625e-005,-576.000,
5.63e-005,-592.000,
5.635e-005,-616.000,
5.64e-005,-616.000,
5.645e-005,-632.000,
5.65e-005,-640.000,
5.655e-005,-656.000,
5.66e-005,-672.000,
5.665e-005,-672.000,
5.67e-005,-680.000,
5.675e-005,-688.000,
5.68e-005,-704.000,
5.685e-005,-712.000,
5.69e-005,-712.000,
5.695e-005,-720.000,
5.7e-005,-728.000,
5.705e-005,-728.000,
5.71e-005,-736.000,
5.715e-005,-736.000,
5.72e-005,-744.000,
5.725e-005,-744.000,
5.73e-005,-744.000,
5.735e-005,-744.000,
5.74e-005,-736.000,
5.745e-005,-744.000,
5.75e-005,-736.000,
5.755e-005,-736.000,
5.76e-005,-728.000,
5.765e-005,-728.000,
5.77e-005,-728.000,
5.775e-005,-720.000,
5.78e-005,-712.000,
5.785e-005,-704.000,
5.79e-005,-696.000,
5.795e-005,-688.000,
5.8e-005,-680.000,
5.805e-005,-664.000,
5.81e-005,-656.000,
5.815e-005,-648.000,
5.82e-005,-632.000,
5.825e-005,-616.000,
5.83e-005,-608.000,
5.835e-005,-592.000,
5.84e-005,-576.000,
5.845e-005,-560.000,
5.85e-005,-544.000,
5.855e-005,-536.000,
5.86e-005,-512.000,
5.865e-005,-496.000,
5.87e-005,-480.000,
5.875e-005,-464.000,
5.88e-005,-440.000,
5.885e-005,-424.000,
5.89e-005,-400.000,
5.895e-005,-384.000,
5.9e-005,-360.000,
5.905e-005,-344.000,
5.91e-005,-320.000,
5.915e-005,-296.000,
5.92e-005,-280.000,
5.925e-005,-264.000,
5.93e-005,-240.000,
5.935e-005,-216.000,
5.94e-005,-192.000,
5.945e-005,-168.000,
5.95e-005,-144.000,
5.955e-005,-120.000,
5.96e-005,-96.000,
5.965e-005,-72.000,
5.97e-005,-48.000,
5.975e-005,-32.000,
5.98e-005,-8.000,
5.985e-005,16.000,
5.99e-005,40.000,
5.995e-005,64.000,
6e-005,88.000,
6.005e-005,112.000,
6.01e-005,136.000,
6.015e-005,160.000,
6.02e-005,184.000,
6.025e-005,200.000,
6.03e-005,224.000,
6.035e-005,240.000,
6.04e-005,272.000,
6.045e-005,288.000,
6.05e-005,312.000,
6.055e-005,336.000,
6.06e-005,352.000,
6.065e-005,376.000,
6.07e-005,392.000,
6.075e-005,416.000,
6.08e-005,440.000,
6.085e-005,448.000,
6.09e-005,472.000,
6.095e-005,488.000,
6.1e-005,512.000,
6.105e-005,528.000,
6.11e-005,536.000,
6.115e-005,560.000,
6.12e-005,576.000,
6.125e-005,592.000,
6.13e-005,600.000,
6.135e-005,616.000,
6.14e-005,632.000,
6.145e-005,640.000,
6.15e-005,656.000,
6.155e-005,664.000,
6.16e-005,680.000,
6.165e-005,688.000,
6.17e-005,688.000,
6.175e-005,704.000,
6.18e-005,712.000,
6.185e-005,720.000,
6.19e-005,728.000,
6.195e-005,728.000,
6.2e-005,736.000,
6.205e-005,744.000,
6.21e-005,736.000,
6.215e-005,744.000,
6.22e-005,744.000,
6.225e-005,752.000,
6.23e-005,752.000,
6.235e-005,752.000,
6.24e-005,752.000,
6.245e-005,752.000,
6.25e-005,744.000,
6.255e-005,744.000,
6.26e-005,736.000,
6.265e-005,736.000,
6.27e-005,736.000,
6.275e-005,728.000,
6.28e-005,720.000,
6.285e-005,712.000,
6.29e-005,704.000,
6.295e-005,696.000,
6.3e-005,688.000,
6.305e-005,672.000,
6.31e-005,664.000,
6.315e-005,648.000,
6.32e-005,640.000,
6.325e-005,624.000,
6.33e-005,616.000,
6.335e-005,600.000,
6.34e-005,584.000,
6.345e-005,576.000,
6.35e-005,560.000,
6.355e-005,544.000,
6.36e-005,520.000,
6.365e-005,504.000,
6.37e-005,488.000,
6.375e-005,472.000,
6.38e-005,456.000,
6.385e-005,432.000,
6.39e-005,416.000,
6.395e-005,392.000,
6.4e-005,376.000,
6.405e-005,352.000,
6.41e-005,328.000,
6.415e-005,312.000,
6.42e-005,288.000,
6.425e-005,272.000,
6.43e-005,240.000,
6.435e-005,216.000,
6.44e-005,200.000,
6.445e-005,184.000,
6.45e-005,152.000,
6.455e-005,136.000,
6.46e-005,112.000,
6.465e-005,88.000,
6.47e-005,72.000,
6.475e-005,40.000,
6.48e-005,16.000,
6.485e-005,-8.000,
6.49e-005,-24.000,
6.495e-005,-56.000,
6.5e-005,-80.000,
6.505e-005,-104.000,
6.51e-005,-120.000,
6.515e-005,-144.000,
6.52e-005,-168.000,
6.525e-005,-192.000,
6.53e-005,-216.000,
6.535e-005,-232.000,
6.54e-005,-264.000,
6.545e-005,-288.000,
6.55e-005,-304.000,
6.555e-005,-328.000,
6.56e-005,-344.000,
6.565e-005,-368.000,
6.57e-005,-384.000,
6.575e-005,-408.000,
6.58e-005,-424.000,
6.585e-005,-448.000,
6.59e-005,-464.000,
6.595e-005,-480.000,
6.6e-005,-496.000,
6.605e-005,-512.000,
6.61e-005,-528.000,
6.615e-005,-544.000,
6.62e-005,-560.000,
6.625e-005,-584.000,
6.63e-005,-592.000,
6.635e-005,-608.000,
6.64e-005,-616.000,
6.645e-005,-632.000,
6.65e-005,-648.000,
6.655e-005,-656.000,
6.66e-005,-664.000,
6.665e-005,-680.000,
6.67e-005,-680.000,
6.675e-005,-688.000,
6.68e-005,-704.000,
6.685e-005,-712.000,
6.69e-005,-720.000,
6.695e-005,-720.000,
6.7e-005,-728.000,
6.705e-005,-736.000,
6.71e-005,-728.000,
6.715e-005,-736.000,
6.72e-005,-736.000,
6.725e-005,-736.000,
6.73e-005,-744.000,
6.735e-005,-744.000,
6.74e-005,-736.000,
6.745e-005,-736.000,
6.75e-005,-736.000,
6.755e-005,-736.000,
6.76e-005,-728.000,
6.765e-005,-728.000,
6.77e-005,-720.000,
6.775e-005,-712.000,
6.78e-005,-712.000,
6.785e-005,-704.000,
6.79e-005,-696.000,
6.795e-005,-680.000,
6.8e-005,-672.000,
6.805e-005,-664.000,
6.81e-005,-656.000,
6.815e-005,-640.000,
6.82e-005,-632.000,
6.825e-005,-616.000,
6.83e-005,-608.000,
6.835e-005,-592.000,
6.84e-005,-576.000,
6.845e-005,-560.000,
6.85e-005,-544.000,
6.855e-005,-528.000,
6.86e-005,-512.000,
6.865e-005,-496.000,
6.87e-005,-472.000,
6.875e-005,-456.000,
6.88e-005,-440.000,
6.885e-005,-424.000,
6.89e-005,-400.000,
6.895e-005,-384.000,
6.9e-005,-360.000,
6.905e-005,-344.000,
6.91e-005,-320.000,
6.915e-005,-304.000,
6.92e-005,-280.000,
6.925e-005,-256.000,
6.93e-005,-232.000,
6.935e-005,-208.000,
6.94e-005,-184.000,
6.945e-005,-168.000,
6.95e-005,-144.000,
6.955e-005,-120.000,
6.96e-005,-96.000,
6.965e-005,-80.000,
6.97e-005,-48.000,
6.975e-005,-32.000,
6.98e-005,-8.000,
6.985e-005,16.000,
6.99e-005,40.000,
6.995e-005,64.000,
7e-005,88.000,
7.005e-005,112.000,
7.01e-005,136.000,
7.015e-005,160.000,
7.02e-005,184.000,
7.025e-005,208.000,
7.03e-005,224.000,
7.035e-005,248.000,
7.04e-005,272.000,
7.045e-005,296.000,
7.05e-005,320.000,
7.055e-005,336.000,
7.06e-005,360.000,
7.065e-005,376.000,
7.07e-005,392.000,
7.075e-005,424.000,
7.08e-005,440.000,
7.085e-005,456.000,
7.09e-005,472.000,
7.095e-005,496.000,
7.1e-005,512.000,
7.105e-005,520.000,
7.11e-005,544.000,
7.115e-005,560.000,
7.12e-005,576.000,
7.125e-005,584.000,
7.13e-005,600.000,
7.135e-005,616.000,
7.14e-005,632.000,
7.145e-005,640.000,
7.15e-005,656.000,
7.155e-005,664.000,
7.16e-005,680.000,
7.165e-005,680.000,
7.17e-005,696.000,
7.175e-005,704.000,
7.18e-005,712.000,
7.185e-005,720.000,
7.19e-005,728.000,
7.195e-005,728.000,
7.2e-005,736.000,
7.205e-005,736.000,
7.21e-005,752.000,
7.215e-005,744.000,
7.22e-005,752.000,
7.225e-005,752.000,
7.23e-005,744.000,
7.235e-005,752.000,
7.24e-005,752.000,
7.245e-005,752.000,
7.25e-005,752.000,
7.255e-005,744.000,
7.26e-005,736.000,
7.265e-005,736.000,
7.27e-005,728.000,
7.275e-005,720.000,
7.28e-005,720.000,
7.285e-005,704.000,
7.29e-005,704.000,
7.295e-005,696.000,
7.3e-005,688.000,
7.305e-005,672.000,
7.31e-005,664.000,
7.315e-005,648.000,
7.32e-005,640.000,
7.325e-005,632.000,
7.33e-005,616.000,
7.335e-005,600.000,
7.34e-005,584.000,
7.345e-005,568.000,
7.35e-005,560.000,
7.355e-005,544.000,
7.36e-005,528.000,
7.365e-005,512.000,
7.37e-005,488.000,
7.375e-005,472.000,
7.38e-005,448.000,
7.385e-005,432.000,
7.39e-005,416.000,
7.395e-005,392.000,
7.4e-005,376.000,
7.405e-005,352.000,
7.41e-005,336.000,
7.415e-005,312.000,
7.42e-005,288.000,
7.425e-005,264.000,
7.43e-005,248.000,
7.435e-005,224.000,
7.44e-005,200.000,
7.445e-005,184.000,
7.45e-005,152.000,
7.455e-005,128.000,
7.46e-005,112.000,
7.465e-005,88.000,
7.47e-005,72.000,
7.475e-005,40.000,
7.48e-005,16.000,
7.485e-005,-8.000,
7.49e-005,-24.000,
7.495e-005,-56.000,
7.5e-005,-80.000,
7.505e-005,-104.000,
7.51e-005,-120.000,
7.515e-005,-144.000,
7.52e-005,-168.000,
7.525e-005,-192.000,
7.53e-005,-208.000,
7.535e-005,-240.000,
7.54e-005,-264.000,
7.545e-005,-280.000,
7.55e-005,-304.000,
7.555e-005,-320.000,
7.56e-005,-344.000,
7.565e-005,-368.000,
7.57e-005,-384.000,
7.575e-005,-408.000,
7.58e-005,-424.000,
7.585e-005,-448.000,
7.59e-005,-464.000,
7.595e-005,-480.000,
7.6e-005,-496.000,
7.605e-005,-520.000,
7.61e-005,-536.000,
7.615e-005,-544.000,
7.62e-005,-560.000,
7.625e-005,-576.000,
7.63e-005,-592.000,
7.635e-005,-600.000,
7.64e-005,-616.000,
7.645e-005,-632.000,
7.65e-005,-640.000,
7.655e-005,-656.000,
7.66e-005,-664.000,
7.665e-005,-672.000,
7.67e-005,-680.000,
7.675e-005,-696.000,
7.68e-005,-704.000,
7.685e-005,-704.000,
7.69e-005,-712.000,
7.695e-005,-720.000,
7.7e-005,-720.000,
7.705e-005,-728.000,
7.71e-005,-728.000,
7.715e-005,-736.000,
7.72e-005,-736.000,
7.725e-005,-744.000,
7.73e-005,-744.000,
7.735e-005,-744.000,
7.74e-005,-744.000,
7.745e-005,-736.000,
7.75e-005,-736.000,
7.755e-005,-736.000,
7.76e-005,-728.000,
7.765e-005,-728.000,
7.77e-005,-720.000,
7.775e-005,-720.000,
7.78e-005,-704.000,
7.785e-005,-704.000,
7.79e-005,-696.000,
7.795e-005,-680.000,
7.8e-005,-672.000,
7.805e-005,-664.000,
7.81e-005,-656.000,
7.815e-005,-640.000,
7.82e-005,-632.000,
7.825e-005,-616.000,
7.83e-005,-608.000,
7.835e-005,-592.000,
7.84e-005,-576.000,
7.845e-005,-560.000,
7.85e-005,-544.000,
7.855e-005,-536.000,
7.86e-005,-512.000,
7.865e-005,-496.000,
7.87e-005,-480.000,
7.875e-005,-464.000,
7.88e-005,-440.000,
7.885e-005,-424.000,
7.89e-005,-408.000,
7.895e-005,-384.000,
7.9e-005,-360.000,
7.905e-005,-344.000,
7.91e-005,-320.000,
7.915e-005,-304.000,
7.92e-005,-280.000,
7.925e-005,-256.000,
7.93e-005,-240.000,
7.935e-005,-216.000,
7.94e-005,-192.000,
7.945e-005,-168.000,
7.95e-005,-144.000,
7.955e-005,-120.000,
7.96e-005,-96.000,
7.965e-005,-80.000,
7.97e-005,-48.000,
7.975e-005,-24.000,
7.98e-005,-8.000,
7.985e-005,16.000,
7.99e-005,40.000,
7.995e-005,64.000,
8e-005,96.000,
8.005e-005,112.000,
8.01e-005,136.000,
8.015e-005,160.000,
8.02e-005,176.000,
8.025e-005,200.000,
8.03e-005,224.000,
8.035e-005,248.000,
8.04e-005,272.000,
8.045e-005,296.000,
8.05e-005,312.000,
8.055e-005,336.000,
8.06e-005,360.000,
8.065e-005,376.000,
8.07e-005,392.000,
8.075e-005,416.000,
8.08e-005,440.000,
8.085e-005,456.000,
8.09e-005,472.000,
8.095e-005,496.000,
8.1e-005,512.000,
8.105e-005,528.000,
8.11e-005,536.000,
8.115e-005,560.000,
8.12e-005,568.000,
8.125e-005,592.000,
8.13e-005,600.000,
8.135e-005,616.000,
8.14e-005,632.000,
8.145e-005,648.000,
8.15e-005,656.000,
8.155e-005,664.000,
8.16e-005,672.000,
8.165e-005,688.000,
8.17e-005,688.000,
8.175e-005,704.000,
8.18e-005,712.000,
8.185e-005,720.000,
8.19e-005,728.000,
8.195e-005,728.000,
8.2e-005,736.000,
8.205e-005,744.000,
8.21e-005,744.000,
8.215e-005,744.000,
8.22e-005,752.000,
8.225e-005,752.000,
8.23e-005,752.000,
8.235e-005,752.000,
8.24e-005,752.000,
8.245e-005,752.000,
8.25e-005,744.000,
8.255e-005,744.000,
8.26e-005,736.000,
8.265e-005,736.000,
8.27e-005,728.000,
8.275e-005,720.000,
8.28e-005,720.000,
8.285e-005,712.000,
8.29e-005,704.000,
8.295e-005,696.000,
8.3e-005,688.000,
8.305e-005,680.000,
8.31e-005,664.000,
8.315e-005,656.000,
8.32e-005,640.000,
8.325e-005,632.000,
8.33e-005,616.000,
8.335e-005,600.000,
8.34e-005,584.000,
8.345e-005,568.000,
8.35e-005,560.000,
8.355e-005,536.000,
8.36e-005,520.000,
8.365e-005,512.000,
8.37e-005,488.000,
8.375e-005,464.000,
8.38e-005,456.000,
8.385e-005,432.000,
8.39e-005,416.000,
8.395e-005,400.000,
8.4e-005,376.000,
8.405e-005,344.000,
8.41e-005,328.000,
8.415e-005,312.000,
8.42e-005,296.000,
8.425e-005,264.000,
8.43e-005,248.000,
8.435e-005,224.000,
8.44e-005,200.000,
8.445e-005,176.000,
8.45e-005,152.000,
8.455e-005,128.000,
8.46e-005,112.000,
8.465e-005,80.000,
8.47e-005,56.000,
8.475e-005,40.000,
8.48e-005,16.000,
8.485e-005,-8.000,
8.49e-005,-24.000,
8.495e-005,-56.000,
8.5e-005,-80.000,
8.505e-005,-104.000,
8.51e-005,-120.000,
8.515e-005,-144.000,
8.52e-005,-176.000,
8.525e-005,-192.000,
8.53e-005,-216.000,
8.535e-005,-232.000,
8.54e-005,-264.000,
8.545e-005,-280.000,
8.55e-005,-304.000,
8.555e-005,-320.000,
8.56e-005,-344.000,
8.565e-005,-368.000,
8.57e-005,-384.000,
8.575e-005,-408.000,
8.58e-005,-424.000,
8.585e-005,-448.000,
8.59e-005,-464.000,
8.595e-005,-480.000,
8.6e-005,-496.000,
8.605e-005,-520.000,
8.61e-005,-528.000,
8.615e-005,-544.000,
8.62e-005,-560.000,
8.625e-005,-576.000,
8.63e-005,-592.000,
8.635e-005,-608.000,
8.64e-005,-616.000,
8.645e-005,-632.000,
8.65e-005,-648.000,
8.655e-005,-656.000,
8.66e-005,-664.000,
8.665e-005,-672.000,
8.67e-005,-680.000,
8.675e-005,-688.000,
8.68e-005,-704.000,
8.685e-005,-704.000,
8.69e-005,-712.000,
8.695e-005,-720.000,
8.7e-005,-720.000,
8.705e-005,-728.000,
8.71e-005,-736.000,
8.715e-005,-736.000,
8.72e-005,-736.000,
8.725e-005,-744.000,
8.73e-005,-744.000,
8.735e-005,-744.000,
8.74e-005,-744.000,
8.745e-005,-736.000,
8.75e-005,-736.000,
8.755e-005,-736.000,
8.76e-005,-728.000,
8.765e-005,-728.000,
8.77e-005,-720.000,
8.775e-005,-720.000,
8.78e-005,-704.000,
8.785e-005,-704.000,
8.79e-005,-696.000,
8.795e-005,-688.000,
8.8e-005,-672.000,
8.805e-005,-664.000,
8.81e-005,-648.000,
8.815e-005,-648.000,
8.82e-005,-632.000,
8.825e-005,-616.000,
8.83e-005,-608.000,
8.835e-005,-584.000,
8.84e-005,-576.000,
8.845e-005,-560.000,
8.85e-005,-544.000,
8.855e-005,-528.000,
8.86e-005,-504.000,
8.865e-005,-496.000,
8.87e-005,-472.000,
8.875e-005,-464.000,
8.88e-005,-440.000,
8.885e-005,-416.000,
8.89e-005,-400.000,
8.895e-005,-384.000,
8.9e-005,-360.000,
8.905e-005,-336.000,
8.91e-005,-320.000,
8.915e-005,-304.000,
8.92e-005,-280.000,
8.925e-005,-256.000,
8.93e-005,-224.000,
8.935e-005,-208.000,
8.94e-005,-192.000,
8.945e-005,-168.000,
8.95e-005,-136.000,
8.955e-005,-120.000,
8.96e-005,-96.000,
8.965e-005,-72.000,
8.97e-005,-48.000,
8.975e-005,-32.000,
8.98e-005,-8.000,
8.985e-005,16.000,
8.99e-005,48.000,
8.995e-005,64.000,
9e-005,88.000,
9.005e-005,112.000,
9.01e-005,136.000,
9.015e-005,160.000,
9.02e-005,184.000,
9.025e-005,208.000,
9.03e-005,224.000,
9.035e-005,248.000,
9.04e-005,272.000,
9.045e-005,296.000,
9.05e-005,312.000,
9.055e-005,336.000,
9.06e-005,360.000,
9.065e-005,376.000,
9.07e-005,400.000,
9.075e-005,416.000,
9.08e-005,440.000,
9.085e-005,456.000,
9.09e-005,472.000,
9.095e-005,488.000,
9.1e-005,512.000,
9.105e-005,528.000,
9.11e-005,544.000,
9.115e-005,560.000,
9.12e-005,576.000,
9.125e-005,584.000,
9.13e-005,608.000,
9.135e-005,616.000,
9.14e-005,632.000,
9.145e-005,640.000,
9.15e-005,656.000,
9.155e-005,664.000,
9.16e-005,680.000,
9.165e-005,688.000,
9.17e-005,696.000,
9.175e-005,704.000,
9.18e-005,712.000,
9.185e-005,728.000,
9.19e-005,720.000,
9.195e-005,728.000,
9.2e-005,736.000,
9.205e-005,744.000,
9.21e-005,744.000,
9.215e-005,744.000,
9.22e-005,752.000,
9.225e-005,752.000,
9.23e-005,752.000,
9.235e-005,752.000,
9.24e-005,752.000,
9.245e-005,752.000,
9.25e-005,752.000,
9.255e-005,744.000,
9.26e-005,744.000,
9.265e-005,736.000,
9.27e-005,736.000,
9.275e-005,728.000,
9.28e-005,720.000,
9.285e-005,712.000,
9.29e-005,712.000,
9.295e-005,688.000,
9.3e-005,688.000,
9.305e-005,680.000,
9.31e-005,664.000,
9.315e-005,656.000,
9.32e-005,640.000,
9.325e-005,632.000,
9.33e-005,616.000,
9.335e-005,600.000,
9.34e-005,584.000,
9.345e-005,568.000,
9.35e-005,560.000,
9.355e-005,544.000,
9.36e-005,528.000,
9.365e-005,504.000,
9.37e-005,488.000,
9.375e-005,472.000,
9.38e-005,456.000,
9.385e-005,432.000,
9.39e-005,416.000,
9.395e-005,400.000,
9.4e-005,376.000,
9.405e-005,352.000,
9.41e-005,336.000,
9.415e-005,312.000,
9.42e-005,288.000,
9.425e-005,264.000,
9.43e-005,248.000,
9.435e-005,224.000,
9.44e-005,200.000,
9.445e-005,176.000,
9.45e-005,160.000,
9.455e-005,136.000,
9.46e-005,112.000,
9.465e-005,88.000,
9.47e-005,64.000,
9.475e-005,40.000,
9.48e-005,16.000,
9.485e-005,-8.000,
9.49e-005,-32.000,
9.495e-005,-56.000,
9.5e-005,-80.000,
9.505e-005,-104.000,
9.51e-005,-120.000,
9.515e-005,-144.000,
9.52e-005,-168.000,
9.525e-005,-192.000,
9.53e-005,-216.000,
9.535e-005,-240.000,
9.54e-005,-256.000,
9.545e-005,-288.000,
9.55e-005,-304.000,
9.555e-005,-328.000,
9.56e-005,-344.000,
9.565e-005,-360.000,
9.57e-005,-384.000,
9.575e-005,-408.000,
9.58e-005,-424.000,
9.585e-005,-440.000,
9.59e-005,-464.000,
9.595e-005,-480.000,
9.6e-005,-496.000,
9.605e-005,-512.000,
9.61e-005,-528.000,
9.615e-005,-544.000,
9.62e-005,-560.000,
9.625e-005,-584.000,
9.63e-005,-592.000,
9.635e-005,-608.000,
9.64e-005,-624.000,
9.645e-005,-624.000,
9.65e-005,-648.000,
9.655e-005,-656.000,
9.66e-005,-664.000,
9.665e-005,-680.000,
9.67e-005,-688.000,
9.675e-005,-696.000,
9.68e-005,-704.000,
9.685e-005,-712.000,
9.69e-005,-712.000,
9.695e-005,-720.000,
9.7e-005,-728.000,
9.705e-005,-728.000,
9.71e-005,-736.000,
9.715e-005,-736.000,
9.72e-005,-744.000,
9.725e-005,-736.000,
9.73e-005,-744.000,
9.735e-005,-736.000,
9.74e-005,-744.000,
9.745e-005,-736.000,
9.75e-005,-736.000,
9.755e-005,-736.000,
9.76e-005,-728.000,
9.765e-005,-720.000,
9.77e-005,-720.000,
9.775e-005,-712.000,
9.78e-005,-704.000,
9.785e-005,-696.000,
9.79e-005,-696.000,
9.795e-005,-680.000,
9.8e-005,-672.000,
9.805e-005,-664.000,
9.81e-005,-648.000,
9.815e-005,-640.000,
9.82e-005,-624.000,
9.825e-005,-616.000,
9.83e-005,-600.000,
9.835e-005,-584.000,
9.84e-005,-576.000,
9.845e-005,-560.000,
9.85e-005,-544.000,
9.855e-005,-528.000,
9.86e-005,-520.000,
9.865e-005,-496.000,
9.87e-005,-480.000,
9.875e-005,-464.000,
9.88e-005,-440.000,
9.885e-005,-416.000,
9.89e-005,-400.000,
9.895e-005,-384.000,
9.9e-005,-368.000,
9.905e-005,-344.000,
9.91e-005,-320.000,
9.915e-005,-304.000,
9.92e-005,-280.000,
9.925e-005,-256.000,
9.93e-005,-232.000,
9.935e-005,-208.000,
9.94e-005,-192.000,
9.945e-005,-168.000,
9.95e-005,-144.000,
9.955e-005,-120.000,
9.96e-005,-96.000,
9.965e-005,-72.000,
9.97e-005,-48.000,
9.975e-005,-32.000,
9.98e-005,-8.000,
9.985e-005,16.000,
9.99e-005,40.000,
9.995e-005,64.000,
0.0001,96.000,
0.00010005,120.000,
0.0001001,136.000,
0.00010015,160.000,
0.0001002,184.000,
0.00010025,200.000,
0.0001003,232.000,
0.00010035,248.000,
0.0001004,272.000,
0.00010045,296.000,
0.0001005,312.000,
0.00010055,336.000,
0.0001006,360.000,
0.00010065,376.000,
0.0001007,400.000,
0.00010075,416.000,
0.0001008,440.000,
0.00010085,456.000,
0.0001009,480.000,
0.00010095,496.000,
0.000101,512.000,
0.00010105,528.000,
0.0001011,544.000,
0.00010115,568.000,
0.0001012,576.000,
0.00010125,592.000,
0.0001013,600.000,
0.00010135,616.000,
0.0001014,632.000,
0.00010145,640.000,
0.0001015,656.000,
0.00010155,672.000,
0.0001016,680.000,
0.00010165,688.000,
0.0001017,696.000,
0.00010175,704.000,
0.0001018,720.000,
0.00010185,720.000,
0.0001019,728.000,
0.00010195,736.000,
0.000102,736.000,
0.00010205,736.000,
0.0001021,744.000,
0.00010215,752.000,
0.0001022,752.000,
0.00010225,744.000,
0.0001023,752.000,
0.00010235,752.000,
0.0001024,752.000,
0.00010245,744.000,
0.0001025,752.000,
0.00010255,744.000,
0.0001026,752.000,
0.00010265,736.000,
0.0001027,736.000,
0.00010275,728.000,
0.0001028,720.000,
0.00010285,712.000,
0.0001029,704.000,
0.00010295,696.000,
0.000103,688.000,
0.00010305,680.000,
0.0001031,664.000,
0.00010315,656.000,
0.0001032,640.000,
0.00010325,624.000,
0.0001033,624.000,
0.00010335,600.000,
0.0001034,592.000,
0.00010345,568.000,
0.0001035,552.000,
0.00010355,544.000,
0.0001036,520.000,
0.00010365,512.000,
0.0001037,488.000,
0.00010375,464.000,
0.0001038,448.000,
0.00010385,432.000,
0.0001039,416.000,
0.00010395,392.000,
0.000104,376.000,
0.00010405,352.000,
0.0001041,336.000,
0.00010415,312.000,
0.0001042,288.000,
0.00010425,272.000,
0.0001043,248.000,
0.00010435,224.000,
0.0001044,200.000,
0.00010445,176.000,
0.0001045,152.000,
0.00010455,128.000,
0.0001046,112.000,
0.00010465,88.000,
0.0001047,56.000,
0.00010475,40.000,
0.0001048,16.000,
0.00010485,-8.000,
0.0001049,-32.000,
0.00010495,-56.000,
0.000105,-80.000,
0.00010505,-104.000,
0.0001051,-128.000,
0.00010515,-152.000,
0.0001052,-168.000,
0.00010525,-192.000,
0.0001053,-208.000,
0.00010535,-240.000,
0.0001054,-256.000,
0.00010545,-280.000,
0.0001055,-304.000,
0.00010555,-328.000,
0.0001056,-344.000,
0.00010565,-368.000,
0.0001057,-384.000,
0.00010575,-408.000,
0.0001058,-424.000,
0.00010585,-448.000,
0.0001059,-464.000,
0.00010595,-480.000,
0.000106,-496.000,
0.00010605,-512.000,
0.0001061,-528.000,
0.00010615,-552.000,
0.0001062,-560.000,
0.00010625,-584.000,
0.0001063,-592.000,
0.00010635,-608.000,
0.0001064,-616.000,
0.00010645,-632.000,
0.0001065,-640.000,
0.00010655,-656.000,
0.0001066,-664.000,
0.00010665,-672.000,
0.0001067,-688.000,
0.00010675,-688.000,
0.0001068,-704.000,
0.00010685,-712.000,
0.0001069,-720.000,
0.00010695,-720.000,
0.000107,-720.000,
0.00010705,-728.000,
0.0001071,-736.000,
0.00010715,-736.000,
0.0001072,-736.000,
0.00010725,-736.000,
0.0001073,-744.000,
0.00010735,-736.000,
0.0001074,-744.000,
0.00010745,-736.000,
0.0001075,-728.000,
0.00010755,-736.000,
0.0001076,-736.000,
0.00010765,-720.000,
0.0001077,-720.000,
0.00010775,-712.000,
0.0001078,-704.000,
0.00010785,-704.000,
0.0001079,-688.000,
0.00010795,-680.000,
0.000108,-672.000,
0.00010805,-664.000,
0.0001081,-648.000,
0.00010815,-640.000,
0.0001082,-624.000,
0.00010825,-624.000,
0.0001083,-600.000,
0.00010835,-584.000,
0.0001084,-576.000,
0.00010845,-560.000,
0.0001085,-544.000,
0.00010855,-528.000,
0.0001086,-504.000,
0.00010865,-496.000,
0.0001087,-472.000,
0.00010875,-456.000,
0.0001088,-440.000,
0.00010885,-424.000,
0.0001089,-400.000,
0.00010895,-384.000,
0.000109,-360.000,
0.00010905,-344.000,
0.0001091,-320.000,
0.00010915,-304.000,
0.0001092,-280.000,
0.00010925,-256.000,
0.0001093,-232.000,
0.00010935,-208.000,
0.0001094,-184.000,
0.00010945,-168.000,
0.0001095,-144.000,
0.00010955,-120.000,
0.0001096,-96.000,
0.00010965,-72.000,
0.0001097,-48.000,
0.00010975,-24.000,
0.0001098,0.000,
0.00010985,24.000,
0.0001099,48.000,
0.00010995,72.000,
0.00011,96.000,
0.00011005,112.000,
0.0001101,144.000,
0.00011015,160.000,
0.0001102,184.000,
0.00011025,200.000,
0.0001103,232.000,
0.00011035,256.000,
0.0001104,280.000,
0.00011045,296.000,
0.0001105,320.000,
0.00011055,336.000,
0.0001106,360.000,
0.00011065,376.000,
0.0001107,408.000,
0.00011075,424.000,
0.0001108,440.000,
0.00011085,464.000,
0.0001109,472.000,
0.00011095,488.000,
0.000111,512.000,
0.00011105,536.000,
0.0001111,552.000,
0.00011115,560.000,
0.0001112,576.000,
0.00011125,592.000,
0.0001113,608.000,
0.00011135,624.000,
0.0001114,632.000,
0.00011145,648.000,
0.0001115,648.000,
0.00011155,672.000,
0.0001116,680.000,
0.00011165,680.000,
0.0001117,696.000,
0.00011175,712.000,
0.0001118,712.000,
0.00011185,720.000,
0.0001119,728.000,
0.00011195,736.000,
0.000112,736.000,
0.00011205,744.000,
0.0001121,744.000,
0.00011215,752.000,
0.0001122,752.000,
0.00011225,760.000,
0.0001123,760.000,
0.00011235,760.000,
0.0001124,752.000,
0.00011245,752.000,
0.0001125,744.000,
0.00011255,744.000,
0.0001126,744.000,
0.00011265,736.000,
0.0001127,728.000,
0.00011275,728.000,
0.0001128,720.000,
0.00011285,712.000,
0.0001129,704.000,
0.00011295,696.000,
0.000113,688.000,
0.00011305,680.000,
0.0001131,664.000,
